iata_code,name,municipality,iso_country,iso_region,type,latitude_deg,longitude_deg
GFF,Griffith Airport,Griffith,AU,AU-NSW,medium_airport,-34.2508010864,146.067001343
GFK,Grand Forks International Airport,Grand Forks,US,US-ND,medium_airport,47.949299,-97.176102
GGF,Almeirim Airport,Almeirim,BR,BR-PA,small_airport,-1.479524,-52.578214
GGG,East Texas Regional Airport,Longview,US,US-TX,medium_airport,32.38399887084961,-94.71150207519531
GGJ,Guaíra Airport,Guaíra,BR,BR-PR,small_airport,-24.0811,-54.1917
GGR,Garowe Airport,Garowe,SO,SO-NU,small_airport,8.458474,48.568136
GGS,Gobernador Gregores Airport,Gobernador Gregores,AR,AR-Z,small_airport,-48.7831,-70.150002
GGT,Exuma International Airport,Moss Town,BS,BS-EX,medium_airport,23.562599,-75.877998
GGW,Glasgow Valley County Airport Wokal Field,Glasgow,US,US-MT,medium_airport,48.212502,-106.614998
GHA,Noumérat - Moufdi Zakaria Airport,El Atteuf,DZ,DZ-47,medium_airport,32.384102,3.79411
GHB,Governor's Harbour Airport,Governor's Harbour,BS,BS-CE,medium_airport,25.2847,-76.331001
GHV,Brașov-Ghimbav International Airport,Brașov (Ghimbav),RO,RO-BV,large_airport,45.70558,25.522871
GIB,Gibraltar Airport,Gibraltar,GI,GI-U-A,large_airport,36.151679,-5.34978
GIC,Boigu Island Airport,Boigu Island,AU,AU-QLD,small_airport,-9.23278,142.218002
GID,Gitega Airport,Gitega,BI,BI-GI,medium_airport,-3.417209,29.911308
GIG,Rio de Janeiro Galeão – Tom Jobim International Airport,Rio De Janeiro,BR,BR-RJ,large_airport,-22.809999,-43.250557
GIL,Gilgit Airport,Gilgit,PK,PK-GB,medium_airport,35.918800354003906,74.33360290527344
GIS,Gisborne Airport,Gisborne,NZ,NZ-GIS,medium_airport,-38.6633,177.977997
GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,Jizan,SA,SA-09,medium_airport,16.9011,42.5858
GJA,La Laguna Airport,Guanaja,HN,HN-IB,medium_airport,16.4454,-85.906601
GJL,Jijel Ferhat Abbas Airport,Tahir,DZ,DZ-18,large_airport,36.794125,5.873652
GJT,Grand Junction Regional Airport,Grand Junction,US,US-CO,medium_airport,39.126663,-108.529387
GKA,Goroka Airport,Goronka,PG,PG-EHG,medium_airport,-6.081689834590001,145.391998291
GKK,Kooddoo Airport,Huvadhu Atoll,MV,MV-27,small_airport,0.7324,73.4336
GKN,Gulkana Airport,Gulkana,US,US-AK,medium_airport,62.155859,-145.454662
GLA,Glasgow Airport,Glasgow,GB,GB-SCT,large_airport,55.871899,-4.43306
GLF,Golfito Airport,Golfito,CR,CR-P,medium_airport,8.65401,-83.182198
GLH,Mid Delta Regional Airport,Greenville,US,US-MS,medium_airport,33.482899,-90.985603
GLK,Galcaio Airport,Galcaio,SO,SO-MU,small_airport,6.78082990646,47.45470047
GLT,Gladstone Airport,Gladstone,AU,AU-QLD,medium_airport,-23.869763,151.225439
GLV,Golovin Airport,Golovin,US,US-AK,small_airport,64.550499,-163.007004
GMA,Gemena Airport,Gemena,CD,CD-SU,medium_airport,3.23537,19.771299
GMB,Gambela Airport,Gambela,ET,ET-GA,medium_airport,8.12876,34.563099
GME,Gomel Airport,Gomel,BY,BY-HO,medium_airport,52.527000427246094,31.016700744628906
GMI,Gasmata Island Airport,Gasmata Island,PG,PG-WBK,small_airport,-6.27111005783,150.330993652
GMO,Gombe Lawanti International Airport,Gombe,NG,NG-GO,medium_airport,10.298889,10.9
GMP,Seoul Gimpo International Airport,Seoul,KR,KR-11,large_airport,37.5583,126.791
GMQ,Golog Maqên Airport,Golog (Maqên),CN,CN-63,medium_airport,34.418066,100.301144
GMR,Totegegie Airport,,PF,PF-U-A,medium_airport,-23.07990074157715,-134.88999938964844
GMZ,La Gomera Airport,"Alajero, La Gomera Island",ES,ES-CN,small_airport,28.0296,-17.2146
GNB,Grenoble Alpes Isère Airport,Grenoble,FR,FR-ARA,medium_airport,45.3629,5.32937
GND,Maurice Bishop International Airport,Saint George's,GD,GD-GE,large_airport,12.003996,-61.785302
GNJ,Ganja International Airport,Ganja,AZ,AZ-GA,large_airport,40.738692,46.320383
GNS,Binaka Airport,Gunungsitoli,ID,ID-SU,medium_airport,1.166275,97.705196
GNU,Goodnews Airport,Goodnews,US,US-AK,small_airport,59.117561,-161.575241
GNV,Gainesville Regional Airport,Gainesville,US,US-FL,medium_airport,29.6900997162,-82.2717971802
GNY,Şanlıurfa GAP Airport,Şanlıurfa,TR,TR-63,large_airport,37.445663,38.895592
GOA,Genoa Cristoforo Colombo Airport,Genova (GE),IT,IT-42,large_airport,44.412039,8.840732
GOH,Nuuk International Airport,Nuuk,GL,GL-SE,large_airport,64.191066,-51.67914
GOI,Goa Dabolim International Airport,Vasco da Gama,IN,IN-GA,large_airport,15.380062,73.833328
GOJ,Nizhny Novgorod / Strigino International Airport,Nizhny Novgorod,RU,RU-NIZ,large_airport,56.227351,43.785152
GOM,Goma International Airport,Goma,CD,CD-NK,large_airport,-1.666758,29.238037
GOP,Gorakhpur Airport,Gorakhpur,IN,IN-UP,medium_airport,26.739700317399997,83.4496994019
GOQ,Golmud Airport,Golmud,CN,CN-63,medium_airport,36.4006,94.786102
GOT,Göteborg Landvetter Airport,Göteborg,SE,SE-Q,large_airport,57.6628,12.2798
GOU,Garoua International Airport,Garoua,CM,CM-NO,large_airport,9.334785,13.372129
GOV,Gove Airport,Nhulunbuy,AU,AU-NT,medium_airport,-12.269399642899998,136.817993164
GOX,Manohar International Airport,Mopa,IN,IN-GA,large_airport,15.744257,73.860625
GOY,Tura Mountain Airport,Tura,RU,RU-KYA,small_airport,64.333511,100.432892
GPA,Patras Araxos Agamemnon Airport,Patras,GR,GR-G,medium_airport,38.1511,21.4256
GPI,Guapi Airport,Guapi,CO,CO-CAU,medium_airport,2.57013,-77.897969
GPS,Seymour Galapagos Ecological Airport,Isla Baltra,EC,EC-W,medium_airport,-0.453758,-90.2659
GPT,Gulfport Biloxi International Airport,Gulfport,US,US-MS,medium_airport,30.405582,-89.069836
GRB,Austin Straubel International Airport,Green Bay,US,US-WI,medium_airport,44.483459,-88.130805
GRI,Central Nebraska Regional Airport,Grand Island,US,US-NE,medium_airport,40.967498779296875,-98.30960083007812
GRJ,George Airport,George,ZA,ZA-WC,large_airport,-34.0056,22.378902
GRK,Killeen Regional Airport / Robert Gray Army Airfield,Fort Cavazos,US,US-TX,medium_airport,31.0672,-97.828903
GRO,Girona-Costa Brava Airport,Girona,ES,ES-CT,large_airport,41.904639,2.761774
GRQ,Groningen Airport Eelde,Groningen,NL,NL-DR,large_airport,53.119107,6.577652
GRR,Gerald R. Ford International Airport,Grand Rapids,US,US-MI,large_airport,42.880798,-85.522797
GRU,São Paulo/Guarulhos–Governor André Franco Montoro International Airport,São Paulo,BR,BR-SP,large_airport,-23.431274,-46.469954
GRV,Akhmat Kadyrov Grozny International Airport,Grozny,RU,RU-CE,large_airport,43.388106,45.699772
GRW,Graciosa Airport,Santa Cruz da Graciosa,PT,PT-20,medium_airport,39.092201232910156,-28.029800415039062
GRX,F.G.L. Airport Granada-Jaén Airport,Granada,ES,ES-AN,medium_airport,37.188702,-3.77736
GRY,Grímsey Airport,Grímsey/Sandvík,IS,IS-6,medium_airport,66.5458,-18.0173
GRZ,Graz Airport,Feldkirchen bei Graz,AT,AT-6,large_airport,46.9911,15.4396
GSM,Qeshm International Airport,Qeshm(Dayrestan),IR,IR-22,large_airport,26.754639,55.902353
GSO,Piedmont Triad International Airport,Greensboro,US,US-NC,large_airport,36.09937,-79.937262
GSP,Greenville-Spartanburg International Airport,Greenville/Greer/Spartanburg,US,US-SC,medium_airport,34.895699,-82.218903
GST,Gustavus Airport,Gustavus,US,US-AK,medium_airport,58.4253006,-135.7070007
GSV,Gagarin International Airport,Saratov,RU,RU-SAR,large_airport,51.712778,46.171111
GTA,Gatokae Aerodrome,Gatokae,SB,SB-WE,small_airport,-8.738358,158.202836
